,Train,Predicted
0,5.137503523749935,2.8238078226438574
1,4.53605290024021,6.14373264217528
2,2.765534746362977,3.7005168191602706
3,0.765534746362977,1.4845290165006304
4,7.727920454563199,7.7559822800891425
5,5.368069876532083,4.967560893974849
6,1.8073549220576042,2.505288502840017
7,8.89208739652348,6.929765578369171
8,3.608809242675524,3.5556491632736993
9,0.48542682717024166,0.511343740909183
10,5.872828759534886,4.449443972749748
11,1.3219280948873624,1.0511765307389282
12,8.705977901682521,10.324241241241793
13,8.950993231979641,7.313955127338716
14,5.03121873061072,4.366018723048086
15,9.0,10.585232355420942
16,9.0,7.678416839727362
17,6.255500733148386,4.911523590256735
18,5.9886846867721655,5.330982256327985
19,3.137503523749935,2.8113773584626642
20,0.6780719051126377,0.038055027402577934
21,7.243173983472951,6.275484419622785
22,3.786596361890807,3.87376345428288
23,0.925999418556223,0.7247389879717616
24,7.161887682376894,4.96450481376462
25,5.548436624696042,8.134725076335656
26,4.958842675243241,6.857448714044011
27,7.638797899951696,5.907140420490464
28,5.277984747299765,4.742371299259531
29,5.658211482751795,5.23693209610758
30,2.963474123974886,3.2764400564705056
31,3.6205864104518777,3.247609181521966
32,4.842978831788326,3.852847513984244
33,4.760220946466509,5.181899182959114
34,5.92362461136832,6.661022562428343
35,1.3785116232537298,1.884164365386141
36,1.9634741239748859,1.0305505122755108
37,4.727920454563199,4.496031628271055
38,3.711494906650088,4.457077643269656
39,4.095924419998536,4.151005436901244
40,6.888743248898259,6.4836336533649614
41,6.414473836430928,5.888376280384136
42,6.03121873061072,7.249828663334995
43,5.446256229889564,5.563527764033211
44,5.213347281733441,5.1406338095721935
45,4.371558862611963,4.498921661787335
46,7.410239330776022,7.116737717179149
47,7.176921111644362,8.471137001186094
48,5.617651119427331,6.339267567290733
49,4.19377174339668,4.42212283504233
50,9.159366809743736,8.035264587205234
51,10.591989767615125,9.101155946928657
52,9.537024215863575,10.788074353082607
53,5.116863757690899,5.5794555243280115
54,3.572889668420581,4.533586840253008
55,4.350497247084133,5.223910069706903
56,3.9726926540042644,5.021235433055608
57,3.4195388915137843,4.174460250256345
58,5.655351828612554,7.141738997421726
59,2.584962500721156,3.0893194934088797
60,3.2016338611696504,2.640984598910819
61,6.098032082960526,6.154112748111345
62,6.7865963618908065,5.869094947620823
63,6.710117632043446,6.430938571947195
64,6.525129251203973,6.321284131966195
65,5.357552004618084,6.221850949008697
66,4.070389327891398,4.599391239654295
67,3.2016338611696504,4.1161081522714085
68,4.727920454563199,4.513980858122068
69,7.805421446171756,7.390998783415682
70,3.350497247084133,2.906970066590304
71,0.6780719051126377,-0.4596435948415092
72,3.523561956057013,5.205715808291757
73,7.463524373271181,6.872937053074452
74,6.531381460516312,6.958972478737621
75,2.867896463992655,3.4813491379668733
76,2.169925001442312,3.7241439493140547
77,2.584962500721156,4.093389587977384
78,0.48542682717024166,1.270763510640279
79,4.336283387864432,3.4722157290357245
80,0.8479969065549501,0.7760541829301246
81,3.944858445807539,4.338371014742904
82,3.877744249949002,3.711786849018125
83,2.4059923596758366,2.2310447311194537
84,6.165911938935689,6.467903224515339
85,5.7114949066500875,6.002588454237184
86,1.4854268271702418,1.4546501017183573
87,1.4854268271702418,1.9916876164895427
88,1.3785116232537298,1.572503979058979
89,4.949534933017012,4.51296785356314
90,3.8972404255747994,3.6167263827277623
91,3.1538053360790355,3.4678892487341955
92,4.008988783227255,3.7805142636991604
93,3.1210154009613658,2.980055135021047
94,2.0,3.0074905100803164
95,5.266786540694901,5.00481473682521
96,4.224966365000275,4.378358063553549
97,2.678071905112638,2.91131513035225
98,5.797012977836145,5.295042909571066
99,6.320123598040615,6.515329932354462
100,4.857980995127572,4.389719518399772
101,4.112700132749362,4.08670713445008
102,3.1043366598147357,3.4167896182741515
103,1.765534746362977,2.171283180284604
104,4.300123724569014,4.577209737236899
105,3.925999418556223,3.572019444481782
106,2.925999418556223,3.2972377988740504
107,2.700439718141092,2.704930129317546
108,1.632268215499513,2.1579129878623746
109,3.0874628412503395,2.4919884990013657
110,2.37851162325373,2.1504661367539484
111,3.277984747299765,3.1275371797411253
112,2.4594316186372973,2.2336174729572917
113,3.263034405833794,2.9202110988776724
114,5.339850002884624,4.448478523970323
115,6.37851162325373,5.393126622188845
116,6.84924870276441,6.67142281390835
117,6.528258742758412,5.741270317924261
118,6.380244590478185,6.0597179057483
119,6.824004050933153,7.418467670124201
120,5.419538891513785,4.220500978764846
121,6.232660756790275,6.033708049766275
122,6.442943495848728,6.175389172899145
123,5.465974464504069,5.283971539684444
124,7.181897643108388,7.820120529091014
125,7.41193462479118,7.412022661179549
126,6.223036337901875,6.317410075481575
127,6.301953395126096,5.816989129880909
128,6.897240425574799,7.583339286507211
129,5.894817763307944,5.991981343246607
130,5.7865963618908065,6.334874432862421
131,4.837943241891027,5.72567452985993
132,7.3416300093299105,7.371645650522652
133,5.933100474931368,6.2121596256858425
134,6.074676686294496,6.646880188507282
135,4.307428525192248,5.453997255524314
136,3.548436624696042,4.882538204329649
137,1.2630344058337937,1.3848604728180476
138,1.4329594072761063,0.5406847844122353
139,4.632268215499513,6.202699510497155
140,3.4329594072761065,4.225359880162898
141,3.8875252707415875,4.958428997233057
142,7.991521846075695,7.101826100713538
143,4.949534933017012,5.489323359086939
144,5.19377174339668,4.9366366121971055
145,1.8875252707415875,3.7242928634853456
146,5.20163386116965,4.796046888125687
147,10.12605911607068,9.854129382184851
148,11.822969090453288,10.804616952307185
149,11.7553048882624,11.008550837313521
150,6.434628227636725,5.268002784037179
