,Train,Predicted
0,6.0,4.476542717641842
1,4.0,4.031990500343031
2,2.0,2.842033608583314
3,2.0,2.478552072978288
4,5.0,4.989743443094458
5,3.0,3.392699087303246
6,3.0,2.3639316441279217
7,6.0,4.638259891738577
8,3.0,3.6257372665298107
9,2.0,1.985808435787435
10,4.0,3.6741564940966795
11,2.0,1.9140388436105962
12,7.0,6.722686273224614
13,6.0,5.3480906990314345
14,4.0,3.4586648571803
15,8.0,7.0350444703778665
16,7.0,5.659860413366814
17,4.0,3.5447577009280455
18,4.0,3.8077533812388538
19,3.0,2.8429503226504145
20,2.0,2.388522957167617
21,4.0,3.9546276930332205
22,3.0,2.665193628341225
23,2.0,2.0974039894525074
24,6.0,3.9978224851069797
25,4.0,4.228838544605185
26,4.0,4.552306464883703
27,5.0,4.30128907269948
28,4.0,4.200682791957852
29,4.0,4.130685491200006
30,3.0,2.702558249088442
31,3.0,3.126065722591899
32,4.0,2.984505827331443
33,4.0,3.754563309176781
34,4.0,3.6366462256760723
35,3.0,2.717572521267705
36,3.0,2.7284328058484277
37,4.0,4.358384675246375
38,3.0,4.027516011641493
39,3.0,3.2323761115050615
40,4.0,4.26469565456547
41,4.0,3.709461521708038
42,4.0,4.432425792257664
43,4.0,3.6800148457190875
44,3.0,3.2954471782934194
45,3.0,3.0232168625507017
46,5.0,4.37815109639255
47,5.0,4.801397870102901
48,4.0,4.247340587552643
49,4.0,4.226049910332636
50,5.0,5.2311346313985965
51,6.0,5.006251650116392
52,6.0,5.84866093083827
53,4.0,3.516862520989184
54,3.0,3.175003206256616
55,3.0,3.495484789971222
56,3.0,3.4148211205959598
57,3.0,2.7970981482668744
58,4.0,5.159214986611162
59,3.0,4.272043243955772
60,4.0,3.101272214513204
61,4.0,4.480018615460915
62,5.0,4.1003512600370176
63,5.0,4.724872686248625
64,5.0,4.676466330503818
65,4.0,3.6188285359360837
66,3.0,3.1054039939442877
67,3.0,3.551260602446673
68,4.0,3.5216168601201137
69,5.0,4.60853045917243
70,4.0,4.724313595564131
71,3.0,3.216834530481403
72,3.0,4.889714086786014
73,5.0,4.635733454683235
74,5.0,4.85727649953784
75,3.0,2.573134830983811
76,3.0,2.7873414979194155
77,3.0,3.1027944718479
78,3.0,2.3095645347577767
79,3.0,3.3942279005080795
80,3.0,2.3099630433190876
81,3.0,3.251831877571282
82,3.0,2.8292058021672295
83,2.0,2.5785528933619055
84,4.0,4.2362432506583865
85,4.0,3.87097050398706
86,2.0,2.371260035302182
87,3.0,2.389151512115447
88,3.0,2.2857226071864374
89,3.0,3.7185351483530225
90,3.0,3.1317724552355988
91,3.0,2.8263691732990956
92,3.0,3.255736339073447
93,3.0,2.7672175232815075
94,2.0,2.748674632733138
95,3.0,3.2681913334978088
96,3.0,3.078013979288732
97,3.0,2.3758319278523885
98,3.0,3.6517808560322447
99,4.0,4.330896727839802
100,3.0,3.355917345572097
101,3.0,3.077193616675867
102,3.0,2.7127724447758164
103,2.0,2.2271092275123685
104,3.0,3.290535505771107
105,3.0,2.5872565162055707
106,2.0,2.801205392257417
107,2.0,2.5367990991078386
108,2.0,2.322328904640793
109,3.0,2.380680032925971
110,3.0,2.536119856212572
111,3.0,2.3595802560554517
112,2.0,2.5043827063293396
113,3.0,2.502134372451996
114,3.0,3.650256607884442
115,4.0,3.3975023809157916
116,4.0,4.521982564364588
117,4.0,4.36610653102397
118,4.0,3.9397870221151
119,4.0,4.110059660294488
120,4.0,3.637489340757719
121,4.0,3.9390316710744555
122,4.0,3.465843043520062
123,3.0,3.109579444071114
124,4.0,4.499093615570425
125,4.0,4.675805261563539
126,4.0,3.7079721360549787
127,4.0,4.209606451756638
128,4.0,4.181214898104297
129,4.0,3.6723928816117133
130,4.0,4.144987885774753
131,3.0,3.747579123797398
132,5.0,4.654981884149551
133,4.0,4.006169522696206
134,4.0,4.144707157401349
135,3.0,3.1173555816012506
136,3.0,2.7503783016852035
137,2.0,2.9457061397300635
138,3.0,2.646967276048276
139,3.0,3.630538004454669
140,3.0,2.9581709784369306
141,3.0,3.108347432214998
142,6.0,5.027959710812146
143,4.0,3.9799488766304254
144,4.0,3.7849481757933097
145,3.0,3.4491027370248437
146,4.0,3.709730059604008
147,7.0,6.654536789116214
148,8.0,6.949815130165663
149,8.0,7.732481911636404
