,Train,Predicted
0,6.0,5.31659128297315
1,4.0,4.373214221322058
2,2.0,3.2697002989469297
3,2.0,3.1858372418167846
4,5.0,4.560405254823166
5,3.0,3.406915494282316
6,3.0,2.6187545680988364
7,6.0,5.245015082178952
8,3.0,3.1187558257577166
9,2.0,1.5379011577302322
10,4.0,4.070196753903957
11,2.0,1.798905791432162
12,7.0,6.390808904863121
13,6.0,5.522157250601879
14,4.0,5.361336005633234
15,8.0,6.2945785528626175
16,7.0,5.52285191137085
17,4.0,3.6224697667133796
18,4.0,3.7164254008661146
19,3.0,2.405641073254799
20,2.0,1.641433998277023
21,4.0,4.392541807502539
22,3.0,2.9817304547021166
23,2.0,1.7747892661483746
24,6.0,4.346463895773013
25,4.0,5.431482451931629
26,4.0,4.8867748912540065
27,5.0,3.759968300640992
28,4.0,4.446599112814653
29,4.0,4.575674428808043
30,3.0,2.875059535548587
31,3.0,2.434169759488384
32,4.0,2.9562007416006963
33,4.0,4.168903666206347
34,4.0,4.427776654932671
35,3.0,1.964452857780202
36,3.0,1.7996887539697681
37,4.0,4.4672717475137915
38,3.0,4.544517652063917
39,3.0,3.34383572929886
40,4.0,3.758064839212807
41,4.0,4.154979109886995
42,4.0,4.8406194228671495
43,4.0,3.8032235623693396
44,3.0,3.9318778718852343
45,3.0,3.464121970819747
46,5.0,4.900907386052722
47,5.0,5.490114384407434
48,4.0,3.710895630952109
49,4.0,4.5248494660278595
50,5.0,5.058373836971441
51,6.0,5.727290222554586
52,6.0,7.042647536621473
53,4.0,4.0450362814355
54,3.0,3.2378365047818534
55,3.0,3.5269644604484256
56,3.0,3.20003984568217
57,3.0,2.291751114849589
58,4.0,4.69193055131359
59,3.0,3.6425338109460768
60,4.0,3.3682145130067624
61,4.0,5.030707270313258
62,5.0,5.624753838991353
63,5.0,4.931573448638915
64,5.0,4.022667841916984
65,4.0,4.141434786397269
66,3.0,2.910511614844154
67,3.0,3.0084633244133556
68,4.0,3.450459091925609
69,5.0,4.646194764762527
70,4.0,3.6702821918901236
71,3.0,1.443655124520319
72,3.0,4.125603900622082
73,5.0,4.476268988639106
74,5.0,4.8492995347433805
75,3.0,3.239982327235907
76,3.0,3.7712973500904354
77,3.0,4.033601861315326
78,3.0,2.667773396900543
79,3.0,2.7032965591863274
80,3.0,1.6975492106121663
81,3.0,3.015539292448878
82,3.0,2.8780465100694244
83,2.0,2.6688996940895606
84,4.0,4.324186899709673
85,4.0,4.342000230367262
86,2.0,2.520638691894078
87,3.0,2.2165959755694757
88,3.0,2.043376480903362
89,3.0,3.3030547832132697
90,3.0,2.741684189379612
91,3.0,2.4233988570224483
92,3.0,3.0165171265257413
93,3.0,2.973008334261749
94,2.0,2.921309908678495
95,3.0,3.2656650108694407
96,3.0,2.9818361759375733
97,3.0,2.6610704722596097
98,3.0,3.6613532704556064
99,4.0,3.9116195187826293
100,3.0,3.0355606493145046
101,3.0,2.604984093861731
102,3.0,1.9984583521525963
103,2.0,2.18715069320848
104,3.0,3.3980028521770578
105,3.0,2.952278451251118
106,2.0,2.714717781069851
107,2.0,2.451079544902015
108,2.0,2.2126033389640725
109,3.0,2.6272316301278806
110,3.0,2.3910688127206186
111,3.0,2.6434811432739878
112,2.0,2.1208439441217593
113,3.0,2.598777263199281
114,3.0,3.1985514375910356
115,4.0,3.569641585942506
116,4.0,4.3333111808782405
117,4.0,3.297911216337752
118,4.0,3.5505620103909905
119,4.0,4.789874947962119
120,4.0,3.5547266863841287
121,4.0,5.221973003827088
122,4.0,4.3151094557544525
123,3.0,3.888922587531397
124,4.0,5.634733034748336
125,4.0,5.061174383020102
126,4.0,4.364364321184141
127,4.0,3.3795566537758077
128,4.0,4.633419627476769
129,4.0,4.6238247323246355
130,4.0,4.231792323332655
131,3.0,3.8792845997649863
132,5.0,5.097244652191364
133,4.0,5.010236930542817
134,4.0,4.309392525169017
135,3.0,3.768886310482486
136,3.0,3.5039674535674123
137,2.0,2.1277441601065448
138,3.0,2.4270485888358735
139,3.0,4.047238440709293
140,3.0,3.0102969508672146
141,3.0,3.5889770162098245
142,6.0,5.497770583425961
143,4.0,4.686550793976608
144,4.0,3.8664160942286117
145,3.0,3.1226350355950956
146,4.0,3.8358637579561616
147,7.0,7.16909910201656
148,8.0,7.9829138282440795
149,8.0,8.611473105813047
150,5.0,4.1624595356865655
151,6.0,5.852590339682649
152,6.0,5.608960274460202
153,9.0,5.391861152992419
154,5.0,3.8448083144088514
155,4.0,3.134713936390483
156,8.0,6.766733148230969
157,7.0,5.038444850562158
158,7.0,6.733276095126598
159,8.0,6.686915755990242
160,8.0,6.417725203858907
161,9.0,8.119028483017246
162,5.0,5.370167777106246
163,9.0,7.625427115962111
164,9.0,5.593866563340001
165,6.0,6.11677194735239
