,0
Chi4n,1.7580216311712462
PEOE_VSA6,1.5294636873375853
PEOE_VSA8,1.4124771378499321
VSA_EState2,1.3259519550420678
VSA_EState4,0.9038606626163115
Chi3n,0.8222516436263633
EState_VSA5,0.778925927665914
SMR_VSA6,0.7523454656016799
EState_VSA2,0.6767228130977385
EState_VSA1,0.6437060542549435
FpDensityMorgan1,0.5920956763351333
PEOE_VSA11,0.5006708245593153
BalabanJ,0.47253016543731696
qed,0.45381192100244977
MinEStateIndex,0.4215413694115794
MaxPartialCharge,0.40071138176006804
FpDensityMorgan3,0.3165299665064177
MinPartialCharge,0.3070175857761597
VSA_EState7,0.2798666157208819
SlogP_VSA8,0.2662533782965481
EState_VSA4,0.24847222304339064
SlogP_VSA4,0.20737896723225532
MaxEStateIndex,0.20224417484616067
PEOE_VSA12,0.18527972189733802
EState_VSA6,0.18357038814379217
MaxAbsEStateIndex,0.10776021537481598
SMR_VSA9,0.09851986109746691
MinAbsEStateIndex,0.05242825375438399
fr_Ar_OH,0.023637441769865215
NumAromaticHeterocycles,0.01138614763207278
SlogP_VSA11,0.010859735735458714
fr_amide,0.008842027361477583
fr_Ar_N,0.004310402307885398
fr_Nhpyrrole,0.0009637094998567271
fr_phenol,0.0007629721773716101
MinAbsPartialCharge,0.0007534458381421442
