,0
FpDensityMorgan1,0.9772711029066651
PEOE_VSA8,0.9646164837530345
Chi4n,0.9427691946632905
VSA_EState4,0.7914658448996559
PEOE_VSA6,0.5948609499908699
FpDensityMorgan2,0.5684522373633955
BalabanJ,0.538356316793891
EState_VSA3,0.5142492860630021
EState_VSA5,0.41050954980694127
EState_VSA1,0.38185169640580235
SMR_VSA6,0.3407543918624156
PEOE_VSA9,0.3268616179482979
qed,0.3206518032643521
NumAromaticRings,0.31384803818483925
SlogP_VSA4,0.23727891307691418
EState_VSA7,0.20390264658078044
VSA_EState2,0.17443138717348672
FpDensityMorgan3,0.10528945234408625
SlogP_VSA8,0.10284064991034693
MinEStateIndex,0.10260633588359194
fr_amide,0.05295341041509141
MinAbsEStateIndex,0.04219959254469803
VSA_EState7,0.005906764839794859
SlogP_VSA11,0.005401658090957289
PEOE_VSA12,0.0017906178453747394
NumAromaticHeterocycles,0.001556636769797896
SMR_VSA9,0.00012607051734430817
