,0
Chi4n,2.502128173946519
PEOE_VSA8,1.4410501966328382
Chi3n,1.1620331099866754
VSA_EState2,1.1587142277717344
VSA_EState4,1.0467911083612578
PEOE_VSA7,0.8966409529052947
qed,0.8926928758337188
Kappa3,0.8057366890927476
BalabanJ,0.759934242434804
PEOE_VSA9,0.726180493322407
EState_VSA1,0.6720509895756213
fr_C_O,0.6552391716365086
PEOE_VSA6,0.6388547483376298
fr_Al_COO,0.6342326915981612
MinEStateIndex,0.5946054053915042
SlogP_VSA5,0.5853257799612963
EState_VSA5,0.5641354086640884
VSA_EState5,0.4937140613665246
FpDensityMorgan1,0.4515811392684268
MaxPartialCharge,0.4345352786822391
VSA_EState6,0.34462689255366846
FpDensityMorgan3,0.3308614293090144
PEOE_VSA10,0.32234456221187474
PEOE_VSA1,0.28117630862489945
fr_quatN,0.26580800895897605
EState_VSA4,0.25246220305335443
MinAbsEStateIndex,0.24401354482940427
MaxEStateIndex,0.23963226698460224
SMR_VSA6,0.16470849595766582
MaxAbsEStateIndex,0.15537424258255442
SlogP_VSA8,0.12892846838474342
EState_VSA6,0.09582390546286453
MinPartialCharge,0.03149911041914937
NumAromaticHeterocycles,0.002525040536970767
MinAbsPartialCharge,0.0002683651390579751
fr_Nhpyrrole,1.6640732402090947e-05
