,0
PEOE_VSA8,0.883164589367768
FpDensityMorgan1,0.8439128437800436
VSA_EState7,0.6934815080974418
Chi4n,0.5879342683666181
FpDensityMorgan3,0.5241963848146537
SMR_VSA6,0.5147419696991414
EState_VSA1,0.4810267064177998
SlogP_VSA4,0.3738058948920256
VSA_EState2,0.3569606137568795
PEOE_VSA6,0.3012785423583071
EState_VSA5,0.23935576261217958
EState_VSA6,0.18069192356007915
MinEStateIndex,0.16055911461207123
EState_VSA9,0.1590703190996553
NumAromaticRings,0.14040737131961625
PEOE_VSA12,0.1227798157928129
SlogP_VSA8,0.0758902100135225
PEOE_VSA10,0.0737684275666835
EState_VSA4,0.06488499706124871
fr_NH2,0.05079490555653613
NumAromaticHeterocycles,0.030226404837627566
qed,0.025768721833411633
EState_VSA2,0.013625873256106567
VSA_EState4,0.011913899758852708
VSA_EState5,0.011666205645820181
fr_amide,0.008905226333774514
fr_Ar_OH,0.007942334377019853
SlogP_VSA11,0.0032786608650202304
fr_phenol,0.0012266048568084999
SMR_VSA9,0.0011257202313520905
