,0
Chi4n,3.0331092137276223
PEOE_VSA6,2.9104363974263703
Chi3n,2.1496636288432147
PEOE_VSA8,1.5694446513672708
qed,1.2498253026686073
EState_VSA5,1.0916855435406525
VSA_EState2,1.060227557190191
VSA_EState4,0.9856506750821756
MaxPartialCharge,0.9487331102961507
SMR_VSA6,0.8110538214374349
EState_VSA1,0.8008906734752255
BalabanJ,0.7460629128495333
MinEStateIndex,0.6978318116621115
PEOE_VSA11,0.6436114796060048
MaxEStateIndex,0.5614273425402257
VSA_EState6,0.5449820184911648
VSA_EState5,0.49448531068477225
EState_VSA2,0.47851225109725454
PEOE_VSA9,0.47210545816104504
SlogP_VSA8,0.29565771587631373
MinPartialCharge,0.2880362014828248
EState_VSA4,0.2830377014551702
PEOE_VSA10,0.27540387997299415
MinAbsEStateIndex,0.18950458288795152
MaxAbsEStateIndex,0.18234797094644548
FpDensityMorgan1,0.1384249653504775
SlogP_VSA4,0.08078142133846947
NumAromaticHeterocycles,0.0598798288914905
fr_Ar_OH,0.059412171048604065
PEOE_VSA12,0.0377741584717613
PEOE_VSA7,0.03627814743939119
FpDensityMorgan3,0.03154505453228785
EState_VSA6,0.021322027864693355
SMR_VSA9,0.020054542139013306
SlogP_VSA11,0.006480938571868268
fr_phenol,0.00456724558907723
fr_Nhpyrrole,0.0045479283682337
fr_Ar_N,0.004544622881829116
MinAbsPartialCharge,0.0002636732314036859
fr_bicyclic,4.339432730955612e-05
